Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-05-17,6,5,7,7,8,9,8,5,3,2,2,2,2,2,2,3,4,6,4,4,7,9,9,7,
15026,Fine Particulate Matter,2013-05-18,7,6,5,5,6,7,8,9,8,7,7,7,7,7,6,6,6,7,7,7,11,9,9,11,
15026,Fine Particulate Matter,2013-05-19,12,14,16,17,19,20,22,24,20,16,15,14,13,12,10,10,9,9,10,12,15,17,19,18,
15026,Fine Particulate Matter,2013-05-20,14,11,11,11,12,13,12,12,11,11,11,10,10,8,9,9,11,13,17,19,16,10,11,12,
15026,Fine Particulate Matter,2013-05-21,13,12,13,16,16,20,20,19,18,18,17,18,16,14,8,5,5,5,6,6,6,8,8,9,
15026,Fine Particulate Matter,2013-05-22,7,8,15,11,10,10,11,11,10,9,8,6,5,4,4,6,4,2,3,4,5,6,8,9,
15026,Fine Particulate Matter,2013-05-23,9,8,10,12,15,16,16,10,8,6,5,3,3,3,3,3,2,3,2,2,1,1,2,1,
15026,Fine Particulate Matter,2013-05-24,2,2,1,1,1,1,1,2,3,2,2,2,3,11,18,17,12,11,7,7,7,7,8,11,
15026,Fine Particulate Matter,2013-05-25,7,4,4,4,6,5,4,3,3,4,5,5,6,6,8,6,4,4,6,10,10,14,18,12,
15026,Fine Particulate Matter,2013-05-26,11,12,12,10,9,8,7,5,5,3,6,6,8,10,13,11,8,8,3,3,4,4,5,7,
15026,Fine Particulate Matter,2013-05-27,8,8,11,11,13,15,16,9,5,2,2,2,3,4,2,1,1,2,4,6,5,6,9,13,
15026,Fine Particulate Matter,2013-05-28,18,15,13,10,7,4,3,3,3,6,11,13,11,12,11,10,8,6,4,4,4,4,4,4,
15026,Fine Particulate Matter,2013-05-29,5,5,6,7,8,8,9,9,10,10,11,11,13,13,12,11,10,10,10,11,11,12,13,13,
15026,Fine Particulate Matter,2013-05-30,12,12,12,15,17,18,16,14,12,11,12,14,14,14,15,13,14,17,18,17,17,17,17,15,
15026,Fine Particulate Matter,2013-05-31,19,14,16,17,19,20,19,17,17,16,17,16,14,13,12,11,7,6,6,5,5,5,5,4,
15026,Fine Particulate Matter,2013-06-01,4,4,5,7,6,8,8,6,4,3,4,7,9,10,11,9,8,8,8,6,5,5,5,6,
15026,Fine Particulate Matter,2013-06-02,6,5,5,4,5,8,8,8,7,5,6,6,7,7,8,5,4,4,3,3,3,3,2,1,
15026,Fine Particulate Matter,2013-06-03,1,2,2,2,2,3,2,2,2,3,4,3,4,4,4,4,4,5,6,5,9999,9999,9999,9999,
15026,Fine Particulate Matter,2013-06-04,9999,9999,9999,9999,4,4,3,2,2,3,3,3,3,4,3,4,11,7,4,4,4,6,9,8,
15026,Fine Particulate Matter,2013-06-05,8,7,7,7,8,7,8,8,5,4,5,7,7,6,4,4,5,6,6,6,6,7,8,6,
15026,Fine Particulate Matter,2013-06-06,6,6,5,5,6,7,7,7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,7,6,6,6,
15026,Fine Particulate Matter,2013-06-07,9999,9999,9999,9999,9999,9999,3,3,2,2,2,2,3,3,3,3,3,3,3,5,6,5,5,6,
15026,Fine Particulate Matter,2013-06-08,6,6,6,7,7,8,8,7,5,4,3,3,3,3,3,9999,9999,9999,9999,9999,9999,9999,9999,9999,
15026,Fine Particulate Matter,2013-06-09,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,6,6,5,6,6,6,5,5,5,5,5,8,12,13,
15026,Fine Particulate Matter,2013-06-10,11,9,10,12,14,16,16,16,16,17,17,20,20,16,10,11,9,9,10,9,7,6,8,11,
15026,Fine Particulate Matter,2013-06-11,10,5,6,5,4,4,3,3,2,3,3,3,3,3,2,2,1,1,2,2,3,3,3,3,
15026,Fine Particulate Matter,2013-06-12,3,4,4,5,4,7,8,4,5,4,4,6,6,6,5,5,4,4,5,5,5,6,5,6,
15026,Fine Particulate Matter,2013-06-13,7,8,8,10,9,9,10,6,6,7,6,5,4,3,4,4,4,3,4,5,6,6,6,6,
15026,Fine Particulate Matter,2013-06-14,7,7,7,7,7,9,10,9,10,8,7,7,8,9,9,10,11,11,9999,9999,9999,9999,9999,9999,
15026,Fine Particulate Matter,2013-06-15,9999,9999,9999,9999,9999,9999,9999,9999,9999,8,8,9,10,11,11,10,9,10,10,11,13,13,14,13,
15026,Fine Particulate Matter,2013-06-16,12,12,11,14,16,17,17,17,14,8,7,7,6,5,5,4,4,5,9999,9999,9999,9999,9999,9999,
15026,Fine Particulate Matter,2013-06-17,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,4,4,4,6,5,4,4,
15026,Fine Particulate Matter,2013-06-18,4,4,5,7,7,5,5,5,5,4,5,4,4,3,4,4,4,5,5,5,5,5,5,4,
15026,Fine Particulate Matter,2013-06-19,5,7,7,7,7,7,6,4,3,2,3,3,3,3,3,3,3,3,4,5,6,9,12,15,
15026,Fine Particulate Matter,2013-06-20,14,13,14,14,13,14,14,11,6,4,3,3,3,3,4,4,4,4,5,6,8,11,12,14,
15026,Fine Particulate Matter,2013-06-21,14,16,17,17,15,16,16,15,7,5,4,5,6,7,7,8,9,11,12,14,16,17,17,16,
15026,Fine Particulate Matter,2013-06-22,15,16,20,24,23,22,22,21,20,20,19,20,20,20,21,23,22,21,9999,9999,9999,9999,9999,9999,
15026,Fine Particulate Matter,2013-06-23,9999,9999,15,13,13,16,17,17,16,13,12,11,12,15,11,9,13,14,17,18,20,21,21,21,
15026,Fine Particulate Matter,2013-06-24,20,19,21,21,19,16,14,14,13,12,12,14,16,18,19,19,21,20,21,23,23,23,23,23,
15026,Fine Particulate Matter,2013-06-25,23,24,26,27,24,17,9,8,8,7,8,9,8,8,8,7,7,7,8,7,6,6,11,18,
15026,Fine Particulate Matter,2013-06-26,18,17,18,16,12,9,8,8,8,8,9,9,8,8,9,9,10,11,12,13,13,13,14,16,
15026,Fine Particulate Matter,2013-06-27,18,19,21,23,23,23,22,19,19,17,15,14,12,9,7,6,6,6,6,6,6,8,11,11,
15026,Fine Particulate Matter,2013-06-28,11,15,19,19,20,19,18,8,6,4,3,4,3,2,2,2,2,3,3,2,3,4,5,7,
15026,Fine Particulate Matter,2013-06-29,8,9,11,13,12,9,6,6,7,5,4,4,4,5,4,4,5,5,5,5,5,6,7,6,
15026,Fine Particulate Matter,2013-06-30,7,7,8,9,8,8,6,5,4,3,2,2,2,2,2,4,6,8,11,18,20,25,22,16,
15026,Fine Particulate Matter,2013-07-01,16,23,33,43,46,40,36,36,35,30,26,28,29,27,19,13,14,14,9,10,15,20,14,11,
15026,Fine Particulate Matter,2013-07-02,10,9,8,7,7,7,9,12,16,24,28,26,25,24,22,20,21,23,24,24,26,28,33,37,
15026,Fine Particulate Matter,2013-07-03,38,36,35,36,38,37,37,36,29,21,15,10,9,10,9,9,9,9,8,8,10,12,13,12,
15026,Fine Particulate Matter,2013-07-04,8,6,8,11,12,14,12,13,10,8,8,8,10,10,10,11,10,9,10,12,12,11,11,11,
15026,Fine Particulate Matter,2013-07-05,10,9,8,9,9,9,8,6,5,5,7,7,5,4,4,4,4,4,6,8,11,15,18,23,
15026,Fine Particulate Matter,2013-07-06,25,21,22,19,17,18,17,10,9,7,7,7,8,7,7,7,7,6,6,8,10,11,11,9,
15026,Fine Particulate Matter,2013-07-07,5,5,5,5,6,8,8,8,7,7,7,7,10,11,11,12,10,9,11,13,14,14,14,14,
15026,Fine Particulate Matter,2013-07-08,15,15,15,17,16,16,16,15,14,13,14,14,14,13,13,14,13,9,7,7,7,8,8,7,
